LANGUAGE,Support Donald Trump,Support Hilary Clinton,Age_Category,Sex,Education_Category,Education_Category2,Hispanic,Combining_Race,Race_Ethinicity,Marital_status,Religion,Party,Income,Income_Recode,Ideology,Insurance_Status,Internet_frequency,Social_media_user
English,1,Yes,65+,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Divorced,Roman Catholic,Democrat,"20 to under $30,000","<$30,000",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,No,30-49,Male,Some college,Associate? degree,No,White,White non-Hispanic,Married,Protestant,Independent,"50 to under $75,000","$30-$74,999",Moderate,Covered by health insurance,At least once a week but not every day,Social Media Users
English,1,Yes,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Jewish,Republican,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Roman Catholic,Republican,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Democrat,"75 to under $100,000","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,Yes,50-64,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Democrat,"$150,000 or more","$75,000+",Very liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Republican,"$150,000 or more","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Agnostic (not sure if there is a God),Democrat,"75 to under $100,000","$75,000+",Very liberal,Covered by health insurance,Every day,Not Social Media Users
English,0,Yes,65+,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Democrat,"100 to under $150,000 [OR]","$75,000+",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Roman Catholic,Democrat,"100 to under $150,000 [OR]","$75,000+",Moderate,Covered by health insurance,Every day,Not Social Media Users
