"ft_dem","ft_rep","race","income","sex","white","black","hispanic","other","vote_obama"
100,0,2,3,1,0,1,0,0,1
100,85,2,2,1,0,1,0,0,1
70,40,2,13,0,0,1,0,0,1
100,15,2,1,1,0,1,0,0,1
50,60,1,9,0,1,0,0,0,0
30,15,1,27,0,1,0,0,0,0
70,30,1,24,1,1,0,0,0,1
0,60,1,25,1,1,0,0,0,0
15,40,1,26,0,1,0,0,0,0
85,30,1,7,1,1,0,0,0,1
30,40,1,9,0,1,0,0,0,0
50,50,1,13,0,1,0,0,0,0
30,70,1,9,0,1,0,0,0,0
30,30,1,14,0,1,0,0,0,1
40,15,1,3,0,1,0,0,0,1
70,15,2,23,1,0,1,0,0,1
40,0,2,9,1,0,1,0,0,1
70,85,3,13,1,0,0,1,0,1
70,40,3,11,1,0,0,1,0,1
15,85,4,26,1,0,0,0,1,0
70,50,3,23,1,0,0,1,0,1
0,70,1,8,1,1,0,0,0,0
30,70,1,22,1,1,0,0,0,0
15,70,4,11,1,0,0,0,1,0
15,15,1,26,1,1,0,0,0,0
0,50,1,25,0,1,0,0,0,0
15,85,4,19,1,0,0,0,1,0
80,50,3,13,0,0,0,1,0,1
-8,-8,1,18,1,1,0,0,0,0
60,50,1,17,0,1,0,0,0,1
85,15,1,15,0,1,0,0,0,1
0,70,1,22,0,1,0,0,0,0
100,0,4,19,0,0,0,0,1,1
100,0,1,11,1,1,0,0,0,1
40,85,1,18,1,1,0,0,0,0
70,30,3,9,0,0,0,1,0,1
30,60,1,21,1,1,0,0,0,0
40,95,1,21,1,1,0,0,0,0
30,60,1,23,0,1,0,0,0,0
70,0,3,26,0,0,0,1,0,1
70,0,1,16,0,1,0,0,0,1
0,0,4,7,0,0,0,0,1,0
15,60,1,26,0,1,0,0,0,0
30,70,1,15,1,1,0,0,0,0
60,60,1,7,1,1,0,0,0,0
50,50,1,17,1,1,0,0,0,1
40,60,1,19,0,1,0,0,0,0
30,85,1,13,1,1,0,0,0,0
15,70,1,13,1,1,0,0,0,0
0,100,1,19,0,1,0,0,0,0
60,50,1,7,0,1,0,0,0,0
100,30,2,13,1,0,1,0,0,1
85,40,2,17,0,0,1,0,0,1
60,30,2,1,1,0,1,0,0,1
70,0,2,12,1,0,1,0,0,1
100,0,2,2,1,0,1,0,0,1
100,30,2,14,1,0,1,0,0,1
40,60,3,9,0,0,0,1,0,0
60,40,1,23,1,1,0,0,0,1
85,60,1,3,1,1,0,0,0,1
50,50,1,9,1,1,0,0,0,0
70,0,1,17,0,1,0,0,0,1
50,50,1,15,0,1,0,0,0,0
70,15,4,12,1,0,0,0,1,1
85,40,1,20,0,1,0,0,0,1
70,15,1,17,1,1,0,0,0,1
100,30,3,18,1,0,0,1,0,1
50,50,1,11,1,1,0,0,0,0
40,50,1,9,1,1,0,0,0,0
